Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
vernoncountyso.mo.us,MO,205158821886,191.06904,205.15882,0.18659,,,
cascadepd.wi.us,WI,204315066106,190.28323,204.31507,0.18582,,,
cityofelma.com,WA,204212799910,190.18799,204.2128,0.18573,,,
mountainlakespd.nj.us,NJ,204212290926,190.18752,204.21229,0.18573,,,
mountzionpd.il.us,IL,203274746880,189.31436,203.27475,0.18488,,,
gloucester.yorkcovaecc,Virginia,202906425238,188.97133,202.90643,0.18454,,,
pd.ci.lapeer.mi.us,MI,202404351535,188.50374,202.40435,0.18409,,,
msi.rjs.fe.e2e.pd,Utah,200261222012,186.5078,200.26122,0.18214,,,
fairbankspd.ak.us,AK,199147867405,185.4709,199.14787,0.18112,,,
coawi.org,WI,196373158398,182.88676,196.37316,0.1786,,,
uapd.arizona.edu,,195798128316,182.35122,195.79813,0.17808,,,
leesburgva.gov,Virginia,195713372231,182.27228,195.71337,0.178,,,
greenlakeso.wi.us,WI,193684089554,180.38236,193.68409,0.17615,,,
lcecc.kansas911.org,,191793504448,178.62162,191.7935,0.17444,,,
dac.state.ok.us,OK,190172346025,177.1118,190.17235,0.17296,,,
alpenacoso.mi.us,MI,189138497450,176.14895,189.1385,0.17202,,,
911psc.charlescountymd.gov,MD,188189933817,175.26553,188.18993,0.17116,,,
fresnocodao.ca.us,CA,187681992924,174.79248,187.68199,0.1707,,,
escanaba.org,MI,187263641022,174.40286,187.26364,0.17032,,,
hammontonpd.nj.us,NJ,186507727819,173.69886,186.50773,0.16963,,,
townofporter.com,IN,185505728054,172.76567,185.50573,0.16872,,,
abingdon-va.gov,VA,185209710241,172.48998,185.20971,0.16845,,,
altusok.gov,OK,184976174334,172.27249,184.97617,0.16823,,,
alleghenycohauth.pa.us,PA,182256655340,169.73974,182.25666,0.16576,,,
comms.gadsdensheriff.com,Florida,181132697268,168.69297,181.1327,0.16474,,,
economyboropd.com,PA,180283674610,167.90226,180.28367,0.16397,,,
mattawanmi.com,MI,179544855014,167.21418,179.54486,0.1633,,,
blackfoot.bingham.id.us,ID,179137868237,166.83514,179.13787,0.16292,,,
boydpd.tx.us,TX,177172264740,165.00453,177.17226,0.16114,,,
humble.911.org,TX,177024295229,164.86672,177.0243,0.161,,,
msi.ccch.cypressstandalone,,175118024303,163.09137,175.11802,0.15927,,,
sheriff.stjosephcountymi.org,MI,174587554734,162.59733,174.58755,0.15879,,,
ouachita911.org,LA,174490628680,162.50706,174.49063,0.1587,,,
nbpd.bexarmetro911,TX,174329207857,162.35673,174.32921,0.15855,,,
ioniacounty.org,MI,173266727775,161.36722,173.26673,0.15759,,,
pd.sedonaaz.gov,AZ,172749647012,160.88565,172.74965,0.15711,,,
vilascoso.wi.us,WI,172574663297,160.72268,172.57466,0.15696,,,
co.marquette.wi.us,WI,172200566212,160.37427,172.20057,0.15662,,,
arlingtontx.gov,,171289796884,159.52605,171.2898,0.15579,,,
co.caribou.id.us,ID,170098105771,158.41621,170.09811,0.1547,,,
almaarkansas.gov,AR,169399628423,157.7657,169.39963,0.15407,,,
springfield.fl.gov,FL,168527154122,156.95314,168.52715,0.15327,,,
cornell.edu,NY,166806016884,155.35021,166.80602,0.15171,,,
menomineemi.gov,MI,166319974348,154.89755,166.31997,0.15127,,,
police.cityofkennedale.com,TX,164607117912,153.30232,164.60712,0.14971,,,
jaspercountysc.gov,SC,163778856722,152.53095,163.77886,0.14896,,,
pd.franklin-townshipohio.gov,OH,162522219910,151.36061,162.52222,0.14781,,,
bensonaz.gov,AZ,162044982843,150.91615,162.04498,0.14738,,,
elliscountysheriff.com,TX,162008023371,150.88173,162.00802,0.14735,,,
goldenvalleydps.mn.us,MN,161668735915,150.56574,161.66874,0.14704,,,
bvcogwashingtoncounty.bvcog,,160416075874,149.39911,160.41608,0.1459,,,
pd.provincetown-ma.gov,MA,158804813376,147.89851,158.80481,0.14443,,,
longbeachwa.gov,WA,158729398421,147.82827,158.7294,0.14436,,,
amesburyma.gov,MA,157887744001,147.04442,157.88774,0.1436,,,
washcowisco.gov,WI,156771880867,146.00519,156.77188,0.14258,,,
bergenfieldpd.nj.us,NJ,156754534251,145.98904,156.75453,0.14257,,,
horiconwi.gov,WI,156127926964,145.40546,156.12793,0.142,,,
villageofmccook.org,IL,155820976670,145.11959,155.82098,0.14172,,,
georgetown.org,TX,155602521883,144.91614,155.60252,0.14152,,,
plumboro.com,PA,155522181469,144.84132,155.52218,0.14145,,,
co.kerr.tx.us,TX,154623799792,144.00464,154.6238,0.14063,,,
fortyfortpd.org,Pennsylvania,154161770342,143.57434,154.16177,0.14021,,,
hardingnj.org,NJ,153039224549,142.52888,153.03922,0.13919,,,
cityoffestus.org,MO,151553774527,141.14545,151.55377,0.13784,,,
comms.firerescue.co.martin.fl.us,FL,151118451301,140.74003,151.11845,0.13744,,,
dibollpd.tx.us,TX,150818743094,140.4609,150.81874,0.13717,,,
njtransit.com,NJ,150355181334,140.02917,150.35518,0.13675,,,
frwood.911.org,TX,149416601225,139.15505,149.4166,0.13589,,,
ecc.gpd.galco,Texas,149190606779,138.94458,149.19061,0.13569,,,
branchburg.nj.us,NJ,148972064092,138.74105,148.97206,0.13549,,,
ogemawcosd.mi.us,MI,148472594370,138.27588,148.47259,0.13504,,,
delancotownship.com,NJ,148449927950,138.25477,148.44993,0.13501,,,
pd.austincc.edu,Texas,147853610166,137.6994,147.85361,0.13447,,,
jcc.alleganygov.org,MD,146997677178,136.90226,146.99768,0.13369,,,
villageofcadott.com,WI,145769138253,135.75809,145.76914,0.13258,,,
ellisco.kansas911.org,,144556328116,134.62857,144.55633,0.13147,,,
haddonfieldpd.nj.us,NJ,144341704714,134.42869,144.3417,0.13128,,,
e911.fcema.org,PA,142956252339,133.13838,142.95625,0.13002,,,
co.cal.md.us,MD,140882993331,131.20751,140.88299,0.12813,,,
sheriff.co.midland.mi.us,MI,138169589487,128.68046,138.16959,0.12566,,,
opalockafl.gov,Florida,137841636491,128.37503,137.84164,0.12537,,,
douglasaz.gov,AZ,137788872414,128.32589,137.78887,0.12532,,,
wyckoffpolice.org,NJ,137350729589,127.91784,137.35073,0.12492,,,
washingtoncosheriff.org,TX,135743788199,126.42125,135.74379,0.12346,,,
co.augusta.va.us,VA,134950876947,125.6828,134.95088,0.12274,,,
911.jacksonso.com,Florida,134153919829,124.94057,134.15392,0.12201,,,
cityofmiltonwv.com,WV,133032566746,123.89623,133.03257,0.12099,,,
co.brown.mn.us,MN,132689379122,123.57661,132.68938,0.12068,,,
rsberg.911.org,TX,132425120371,123.3305,132.42512,0.12044,,,
eloyaz.gov,,132189217578,123.1108,132.18922,0.12023,,,
911.co.silverbow.mt.us,MT,131254666636,122.24043,131.25467,0.11938,,,
asu.edu,AZ,130733012542,121.75461,130.73301,0.1189,,,
cityofrushville.in.gov,IN,129806032572,120.89129,129.80603,0.11806,,,
schaumburg.com,IL,129503840028,120.60985,129.50384,0.11778,,,
msi.demo.transcription,UT,129455499931,120.56483,129.4555,0.11774,,,
pd.cityofhewitt.com,TX,129039375956,120.17728,129.03938,0.11736,,,
coab.us,FL,128975140384,120.11746,128.97514,0.1173,,,
co.madison.il.us,IL,128848487115,119.9995,128.84849,0.11719,,,
pd.pageaz.gov,AZ,128628333419,119.79447,128.62833,0.11699,,,
zumbrotapd.mn.us,MN,128361478892,119.54594,128.36148,0.11674,,,
911.goodyearaz.gov,AZ,128071609789,119.27598,128.07161,0.11648,,,
gaylordpd.mn.us,MN,127796939316,119.02017,127.79694,0.11623,,,
tipsubmit.test,Other,127441839995,118.68946,127.44184,0.11591,,,
dfw.wa.gov,WA,125789075932,117.15021,125.78908,0.1144,,,
laprte.911.org,TX,125032119432,116.44524,125.03212,0.11372,,,
burbankil.gov,IL,124739137568,116.17237,124.73914,0.11345,,,
911.gchsem.com,WV,124262079271,115.72808,124.26208,0.11302,,,
pd.mountgilead.net,OH,123287710801,114.82063,123.28771,0.11213,,,
hardincoso.ky.us,KY,122905950639,114.46509,122.90595,0.11178,,,
wbstr.911.org,TX,122766901988,114.33559,122.7669,0.11166,,,
co.silverbow.mt.us,MT,122303202280,113.90373,122.3032,0.11123,,,
so.marshallcounty.il.us,IL,122185438968,113.79406,122.18544,0.11113,,,
wickenburgaz.gov,AZ,122081799994,113.69754,122.0818,0.11103,,,
thecolonytx.gov,TX,121947495286,113.57246,121.9475,0.11091,,,
weber.edu,UT,121458887065,113.1174,121.45889,0.11047,,,
mhanation.com,ND,118024818734,109.91918,118.02482,0.10734,,,
ppso.net,LA,117608745524,109.53168,117.60875,0.10696,,,
ccso.bexarmetro911,TX,117177933132,109.13045,117.17793,0.10657,,,
mooresvillepd.in.us,IN,116890200943,108.86248,116.8902,0.10631,,,
gerrishtwppd.mi.us,MI,115363634173,107.44076,115.36363,0.10492,,,
chicagopd,IL,114846554281,106.95919,114.84655,0.10445,,,
oceancoso.nj.us,New Jersey,113837746358,106.01966,113.83775,0.10353,,,
marshalltexas.net,TX,113449849413,105.65841,113.44985,0.10318,,,
radfordva.gov,VA,113087873291,105.32129,113.08787,0.10285,,,
colville.wa.us,WA,112871333464,105.11962,112.87133,0.10266,,,
daphnepolice.org,AL,112441276234,104.7191,112.44128,0.10226,,,
pd.englewood.oh.us,OH,111550545716,103.88954,111.55055,0.10145,,,
cityofirvine.org,CA,110895879879,103.27984,110.89588,0.10086,,,
gilacountyaz.gov,AZ,110054424980,102.49617,110.05442,0.10009,,,
ioniadps.mi,MI,110012684436,102.4573,110.01268,0.10006,,,
madisonlakemn.gov,MN,109804820444,102.26371,109.80482,0.09987,,,
vsp.vermont.gov,VT,109552965847,102.02915,109.55297,0.09964,,,
grundycountyil.gov,IL,108603650275,101.14503,108.60365,0.09877,,,
nau.edu,AZ,107283029169,99.91511,107.28303,0.09757,,,
paradisevalleyaz.gov,AZ,106289752631,98.99005,106.28975,0.09667,,,
sarpd.com,PA,105661877414,98.40529,105.66188,0.0961,,,
essexsheriff.com,NJ,105504537407,98.25876,105.50454,0.09596,,,
sheriff.lafayetteco.ms.us,MS,105465151465,98.22208,105.46515,0.09592,,,
katypd.911.org,TX,104569388849,97.38783,104.56939,0.09511,,,
allencounty.kansas911.org,KS,104006055021,96.86319,104.00606,0.09459,,,
so.woodburycountyiowa.gov,IA,103623565422,96.50697,103.62357,0.09425,,,
tocc.us,AZ,103360274312,96.26176,103.36027,0.09401,,,
labettecounty.kansas911.org,KS,102650456322,95.60069,102.65046,0.09336,,,
rbpf.bs,LACR,102385623985,95.35404,102.38562,0.09312,,,
blacksburg.gov,VA,102092848088,95.08137,102.09285,0.09285,,,
pd.cityofharrisville.com,UT,101937312165,94.93652,101.93731,0.09271,,,
911.co.callaway.mo.us,MO,101360297706,94.39913,101.3603,0.09219,,,
sdccd.edu,CA,99701127949,92.85391,99.70113,0.09068,,,
cortlandcoso.ny.us,NY,98970450945,92.17342,98.97045,0.09001,,,
szpd.bexarmetro911,TX,98673905860,91.89724,98.67391,0.08974,,,
deerpk.911.org,TX,98532355719,91.76541,98.53236,0.08961,,,
sheriff.co.leon.tx.us,TX,97583690610,90.88189,97.58369,0.08875,,,
pd.highlandvillage.org,TX,95525036838,88.96462,95.52504,0.08688,,,
wiu.edu,IL,95227418655,88.68744,95.22742,0.08661,,,
ecc.tcpd.galco,Texas,94503511752,88.01325,94.50351,0.08595,,,
911.screvencountyboc.com,GA,94395163518,87.91235,94.39516,0.08585,,,
yolocountysheriff.com,CA,93944500563,87.49263,93.9445,0.08544,,,
waltonso.org,FL,93660859455,87.22847,93.66086,0.08518,,,
responder.starter,NY,93322888451,86.91371,93.32289,0.08488,,,
www.crosscountysheriff.org,AR,92933032629,86.55063,92.93303,0.08452,,,
rileycounty.kansas911.org,KS,92895833921,86.51599,92.89583,0.08449,,,
hamiltoncountyny.gov,NY,92592422189,86.23341,92.59242,0.08421,,,
police.psu.edu,PA,91856973626,85.54847,91.85697,0.08354,,,
newberrycounty.net,SC,91549579632,85.26219,91.54958,0.08326,,,
ag.me.us,ME,90979777361,84.73152,90.97978,0.08275,,,
davidsoncountync.gov,NC,90963490240,84.71635,90.96349,0.08273,,,
livoniapd.com,MI,90763318338,84.52993,90.76332,0.08255,,,
moorheadpolice.com,Minnesota,90462504744,84.24977,90.4625,0.08228,,,
pd.twp.berkeley.oceancoso.nj.us,NJ,90446428627,84.2348,90.44643,0.08226,,,
chippewacoso.mn.us,MN,89895949155,83.72213,89.89595,0.08176,,,
stanleywisconsin.us,WI,88449678446,82.37518,88.44968,0.08044,,,
masontownpd.org,PA,87219164328,81.22918,87.21916,0.07933,,,
p14.oceancoso.nj.us,NJ,87074024502,81.094,87.07402,0.07919,,,
firerescue.comms.lcso.lake.fl.us,FL,85964379544,80.06057,85.96438,0.07818,,,
darenc.com,NC,85539142803,79.66453,85.53914,0.0778,,,
bloomerpd.wi.us,WI,85228194849,79.37494,85.22819,0.07751,,,
streatorpolice.org,IL,84974805332,79.13895,84.97481,0.07728,,,
treasure.mt.gov,MT,84957752917,79.12307,84.95775,0.07727,,,
ci.medina.mn.us,MN,84954616664,79.12015,84.95462,0.07727,,,
springville.org,UT,84571596061,78.76344,84.5716,0.07692,,,
stfdpd.911.org,TX,84509546271,78.70565,84.50955,0.07686,,,
msi.rjs.fe.e2e.pro,Utah,84456164197,78.65593,84.45616,0.07681,,,
sheriff.co.stearns.mn.us,MN,84138243331,78.35985,84.13824,0.07652,,,
e911comms.hiltonheadisland.sc.us,SC,84109657187,78.33322,84.10966,0.0765,,,
pd.grandforks.nd.us,ND,83900710405,78.13863,83.90071,0.07631,,,
sgpd.bexarmetro911,TX,83555382306,77.81701,83.55538,0.07599,,,
oaklandcc.edu,MI,83270445390,77.55165,83.27045,0.07573,,,
co.snohomish.wa.us,WA,83224665780,77.50901,83.22467,0.07569,,,
fortscott.kansas911.org,KS,82565160588,76.8948,82.56516,0.07509,,,
ajo.sheriff.pima.gov,AZ,82489785793,76.8246,82.48979,0.07502,,,
co.dekalb.in.us,IN,82128340503,76.48798,82.12834,0.0747,,,
tombal.911.org,TX,81713912804,76.10201,81.71391,0.07432,,,
police.unt.edu,TX,81035713659,75.47039,81.03571,0.0737,,,
plano.gov,,80342161884,74.82447,80.34216,0.07307,,,
comms.so.co.salem.nj.us,NJ,79100668250,73.66824,79.10067,0.07194,,,
browncounty.kansas911.org,KS,77707281905,72.37055,77.70728,0.07067,,,
comms.wicomico.co.md.us,MD,77419988432,72.10298,77.41999,0.07041,,,
grandcanyon.nps.gov,AZ,76927438502,71.64426,76.92744,0.06997,,,
morrisplainspd.nj.us,NJ,76763841402,71.4919,76.76384,0.06982,,,
police.kaysvillecity.com,UT,76148214766,70.91855,76.14821,0.06926,,,
oswegopd.il.us,IL,75498210549,70.31319,75.49821,0.06867,,,
chulavistapd.org,CA,75055670095,69.90104,75.05567,0.06826,,,
pricedps.gov,UT,75019399986,69.86726,75.0194,0.06823,,,
myrtlepointpolice.com,OR,74884308794,69.74145,74.88431,0.06811,,,
marshall-wi.com,WI,74847828035,69.70747,74.84783,0.06807,,,
bernardstspd.nj.us,NJ,74132715404,69.04147,74.13272,0.06742,,,
peapackgladstone.org,NJ,73999437411,68.91735,73.99944,0.0673,,,
tecc.911.org,TX,73750336459,68.68535,73.75034,0.06708,,,
flatrockpd.mi.us,MI,73687904386,68.62721,73.6879,0.06702,,,
madisoncounty.ny.gov,NY,72835015020,67.83289,72.83502,0.06624,,,
allegancounty.org,MI,72796725765,67.79723,72.79673,0.06621,,,
sheriff.mahoning.oh.us,OH,72422114449,67.44835,72.42211,0.06587,,,
universitycircle.org,OH,72233402531,67.2726,72.2334,0.0657,,,
uppersanduskypolice.org,OH,72204457387,67.24564,72.20446,0.06567,,,
fd.co.aa.md.us,MD,72088491713,67.13764,72.08849,0.06556,,,
burlingtonpd.co.us,CO,71408652923,66.50449,71.40865,0.06495,,,
pd.westville.il.us,IL,70998126501,66.12216,70.99813,0.06457,,,
eastgreenwichts.nj.us,NJ,70553476522,65.70805,70.55348,0.06417,,,
co.greenlee.az.us,AZ,70352098887,65.5205,70.3521,0.06398,,,
pendoreillecosh.wa.us,WA,69819109917,65.02411,69.81911,0.0635,,,
fatetx.gov,TX,69427182736,64.6591,69.42718,0.06314,,,
chesapeakepd,OH,68977798447,64.24058,68.9778,0.06273,,,
putnamcountytnsheriff.gov,TN,68731309183,64.01102,68.73131,0.06251,,,
haskellso.org,KS,68244991942,63.5581,68.24499,0.06207,,,
ontariopolice.oh.gov,OH,67819223323,63.16157,67.81922,0.06168,,,
cityofsthelena.org,CA,67386847856,62.75889,67.38685,0.06129,,,
gcso.bexarmetro911,TX,67231945542,62.61463,67.23195,0.06115,,,
sheriff.co.robertson.tx.us,TX,66625498776,62.04983,66.6255,0.0606,,,
msi.onehandheld.test,UT,65912274638,61.38559,65.91227,0.05995,,,
pd.homerny.org,NY,65553998515,61.05192,65.554,0.05962,,,
midlandparkpd.nj.us,NJ,65008997428,60.54435,65.009,0.05913,,,
isabellacounty.org,MI,64788519425,60.33901,64.78852,0.05892,,,
gillettewy.gov,WY,64736263110,60.29034,64.73626,0.05888,,,
p07.oceancoso.nj.us,NJ,64709989923,60.26587,64.70999,0.05885,,,
belair.911.org,TX,64672107838,60.23059,64.67211,0.05882,,,
vanderburgcoso.in.us,Indiana,64293594740,59.87808,64.29359,0.05847,,,
manortwppd.pa.us,PA,64115810400,59.7125,64.11581,0.05831,,,
sheriff.co.madison.tx.us,TX,63898834361,59.51043,63.89883,0.05812,,,
belviderepd.nj.us,NJ,63730101196,59.35328,63.7301,0.05796,,,
hallcountyne.gov,NE,63399217293,59.04512,63.39922,0.05766,,,
grimescountyso.org,TX,63368742416,59.01674,63.36874,0.05763,,,
pd.crit-nsn.gov,AZ,62816976818,58.50287,62.81698,0.05713,,,
jervil.911.org,TX,62112646963,57.84691,62.11265,0.05649,,,
greenwichtownship.org,NJ,62100642608,57.83573,62.10064,0.05648,,,
so.co.nobles.mn.us,MN,61841460461,57.59435,61.84146,0.05624,,,
comms.gtpolice.com,New Jersey,61161839798,56.9614,61.16184,0.05563,,,
pd.evelethmn.com,MN,61018558825,56.82796,61.01856,0.0555,,,
shelley.bingham.id.us,ID,60503559704,56.34833,60.50356,0.05503,,,
tuckercounty911.com,West Virginia,60390761073,56.24328,60.39076,0.05493,,,
psap.srpmic-nsn.gov,,60366937177,56.22109,60.36694,0.0549,,,
sanjuanco.com,WA,59898545015,55.78487,59.89855,0.05448,,,
costamesaca.gov,CA,59768011866,55.6633,59.76801,0.05436,,,
highlandpd.il.us,IL,59691806536,55.59233,59.69181,0.05429,,,
yale.edu,CT,59545864790,55.45641,59.54586,0.05416,,,
da.loudoun.gov,VA,59449225788,55.36641,59.44923,0.05407,,,
madisonpd.nj.us,NJ,59228455479,55.1608,59.22846,0.05387,,,
wcso.washburn.wi.us,WI,59133402500,55.07227,59.1334,0.05378,,,
pd.chatham-ma.gov,MA,58798090181,54.75999,58.79809,0.05348,,,
sheriff.co.burleson.tx.us,TX,57644877500,53.68598,57.64488,0.05243,,,
fairfax-mn.gov,MN,57088941183,53.16822,57.08894,0.05192,,,
murraycountysheriff.org,MN,57087425359,53.16681,57.08743,0.05192,,,
cornell.wi.gov,WI,55501541724,51.68984,55.50154,0.05048,,,
ricecounty.kansas911.org,,55341983623,51.54124,55.34198,0.05033,,,
pd.townofbourne.com,MA,55197002314,51.40621,55.197,0.0502,,,
richmd.911.org,TX,54962119473,51.18746,54.96212,0.04999,,,
seabrk.911.org,TX,54130657301,50.4131,54.13066,0.04923,,,
pd.tccd.edu,TX,53951736923,50.24647,53.95174,0.04907,,,
pd.roanoketexas.com,TX,53557064903,49.8789,53.55706,0.04871,,,
e-com.il.us,IL,53470433108,49.79822,53.47043,0.04863,,,
msi.onehandheld.test.smoke,UT,53442730713,49.77242,53.44273,0.04861,,,
fruitportpolice.com,MI,53421441961,49.75259,53.42144,0.04859,,,
colonail.com,IL,53010571261,49.36994,53.01057,0.04821,,,
p25.oceancoso.nj.us,NJ,52925986617,49.29117,52.92599,0.04814,,,
ecomms.co.stmarys.md.us,MD,52840952740,49.21197,52.84095,0.04806,,,
pd.cityofsanmarino.org,CA,52653867452,49.03774,52.65387,0.04789,,,
huntington.in.us,IN,51973493656,48.40409,51.97349,0.04727,,,
comms.co.talbot.md.us,MD,51710830090,48.15946,51.71083,0.04703,,,
wildlife.utah.gov,UT,51415205040,47.88414,51.41521,0.04676,,,
ecomms.co.franklin.ks.us,KS,50919211924,47.42221,50.91921,0.04631,,,
msi.dev2,,50523622787,47.05379,50.52362,0.04595,,,
bagopolice.com,IL,50307887178,46.85287,50.30789,0.04575,,,
pd.murraystate.edu,KY,49918765865,46.49047,49.91877,0.0454,,,
dodgevillewi.gov,WI,49846066297,46.42277,49.84607,0.04533,,,
wyopd.org,PA,49426407692,46.03193,49.42641,0.04495,,,
wabashpd.in.us,IN,49413193900,46.01962,49.41319,0.04494,,,
sullivancitypd.tx.us,TX,49166987181,45.79033,49.16699,0.04472,,,
highlandcoso.com,OH,49022693819,45.65594,49.02269,0.04459,,,
cedarparkpd.tx.us,TX,48933225285,45.57262,48.93323,0.0445,,,
uwsuper.edu,WI,48900488079,45.54213,48.90049,0.04447,,,
kingmancounty.kansas911.org,KS,48678913719,45.33577,48.67891,0.04427,,,
nccde.org,DE,47581245037,44.31349,47.58125,0.04327,,,
e911.gulfcounty-fl.gov,FL,46351392247,43.1681,46.35139,0.04216,,,
p26.oceancoso.nj.us,NJ,46034897704,42.87334,46.0349,0.04187,,,
torranceca.gov,CA,45942880426,42.78764,45.94288,0.04178,,,
carolinemd.org,MD,45771391349,42.62793,45.77139,0.04163,,,
waynesboropd.ms.us,MS,45758032988,42.61549,45.75803,0.04162,,,
williamsportpd,PA,45443527783,42.32258,45.44353,0.04133,,,
cityofhoughton.com,MI,45312952741,42.20098,45.31295,0.04121,,,
comms.pd.pittsburg.ks.us,KS,45022747383,41.9307,45.02275,0.04095,,,
amherst.ny.us,NY,44865009182,41.7838,44.86501,0.0408,,,
nederland.tx.us,TX,44612042030,41.5482,44.61204,0.04057,,,
comms.pd.stuart.fl.us,FL,44594622701,41.53198,44.59462,0.04056,,,
carverpd.ma.us,MA,44513575093,41.4565,44.51358,0.04048,,,
forrestcoso.ms.us,MS,44481541128,41.42666,44.48154,0.04046,,,
so.calhouncounty.fl.us,FL,44224845425,41.1876,44.22485,0.04022,,,
p04.oceancoso.nj.us,NJ,44040510350,41.01592,44.04051,0.04005,,,
montana.edu,MT,44010210737,40.9877,44.01021,0.04003,,,
p27.oceancoso.nj.us,NJ,43925251149,40.90858,43.92525,0.03995,,,
lpd.comms.lcso.lake.fl.us,FL,43771050730,40.76497,43.77105,0.03981,,,
mitchellcounty.kansas911.org,KS,43140694701,40.1779,43.14069,0.03924,,,
p18.oceancoso.nj.us,NJ,42991624954,40.03907,42.99162,0.0391,,,
state.vt.us,VT,42869415080,39.92525,42.86942,0.03899,,,
sanibel.911.org,FL,42599945384,39.67429,42.59995,0.03874,,,
ocsd.oswegocounty.com,NY,42585407942,39.66075,42.58541,0.03873,,,
fpd.oswegocounty.com,NY,42576691202,39.65263,42.57669,0.03872,,,
cps.flexdems1,IL,42360432602,39.45123,42.36043,0.03853,,,
louisvilleky.gov,KY,41354054299,38.51396,41.35405,0.03761,,,
pd.midlandstech.edu,SC,41103764658,38.28086,41.10376,0.03738,,,
granitecity.illinois.gov,IL,41000806660,38.18498,41.00081,0.03729,,,
scrantonpa.gov,PA,40796674787,37.99486,40.79667,0.0371,,,
portland-michigan.org,MI,40710721215,37.91481,40.71072,0.03703,,,
so.vanzandtcounty.org,TX,40680080388,37.88628,40.68008,0.037,,,
pd.darlington.wi.us,WI,40636893786,37.84606,40.63689,0.03696,,,
msi.vsa.dm,Malopolska,40338881244,37.56851,40.33888,0.03669,,,
richfielddps.gov,UT,40316301950,37.54748,40.3163,0.03667,,,
lopd.bexarmetro911,TX,40010540982,37.26272,40.01054,0.03639,,,
millcreektwnpd.pa.us,PA,39618708438,36.8978,39.61871,0.03603,,,
midstate.doc.nj.gov,NJ,39422611430,36.71517,39.42261,0.03585,,,
ci.westport.wa.us,WA,39094920763,36.40998,39.09492,0.03556,,,
melbourneairportpd.org,FL,38810047393,36.14467,38.81005,0.0353,,,
vanburen-mi.org,MI,38720798837,36.06155,38.7208,0.03522,,,
pd.twp.brick.oceancoso.nj.us,NJ,38230919654,35.60532,38.23092,0.03477,,,
lockhartpd.tx.us,TX,38190893685,35.56804,38.19089,0.03473,,,
pd.villageofmaplebluff.com,WI,38115090540,35.49744,38.11509,0.03467,,,
uppergwynedtwppd.pa.us,PA,37892019930,35.28969,37.89202,0.03446,,,
gipolice.org,NE,37743720259,35.15158,37.74372,0.03433,,,
chippewa-twp.org,PA,37005651228,34.4642,37.00565,0.03366,,,
souhou.911.org,TX,36599927330,34.08634,36.59993,0.03329,,,
northamptonma.gov,MA,36385666608,33.88679,36.38567,0.03309,,,
nemahacounty.kansas911.org,KS,36341231386,33.84541,36.34123,0.03305,,,
911.luke.af.us,Arizona,36244699031,33.75551,36.2447,0.03296,,,
eslpd.com,IL,36168410954,33.68446,36.16841,0.03289,,,
plymouthmn.gov,MN,36094200272,33.61534,36.0942,0.03283,,,
pawpaw.net,MI,36025719184,33.55157,36.02572,0.03277,,,
cityoffortwayne.org,Indiana,35893082264,33.42804,35.89308,0.03264,,,
unionsheriff.us,FL,35851636607,33.38944,35.85164,0.03261,,,
p12.oceancoso.nj.us,NJ,35788129594,33.33029,35.78813,0.03255,,,
so.scottsbluffcountyne.gov,NE,35287465963,32.86401,35.28747,0.03209,,,
alton-tx.gov,TX,35079388685,32.67023,35.07939,0.0319,,,
comms.co.crawford.ks.us,KS,35049157348,32.64207,35.04916,0.03188,,,
cityofmountvernontexas.com,TX,34822367563,32.43086,34.82237,0.03167,,,
tstc.edu,TX,34787871480,32.39873,34.78787,0.03164,,,
lyon-county.org,NV,34720583551,32.33606,34.72058,0.03158,,,
attlab4.com,California,34651676280,32.27189,34.65168,0.03152,,,
cottagegrovemn.gov,MN,34630368339,32.25204,34.63037,0.0315,,,
boxelderdps.utah.gov,UT,34069606050,31.72979,34.06961,0.03099,,,
pd.perryvillageohio.com,OH,34003397423,31.66813,34.0034,0.03093,,,
claycounty.kansas911.org,KS,33596900044,31.28955,33.5969,0.03056,,,
pd.truro-ma.gov,MA,33350545220,31.06012,33.35055,0.03033,,,
brazoriacopct1.tx.us,TX,33034456979,30.76574,33.03446,0.03004,,,
munroefallspd.oh.us,OH,32764272552,30.51411,32.76427,0.0298,,,
pd.twp.barnegat.oceancoso.nj.us,NJ,32555484579,30.31966,32.55548,0.02961,,,
ecc.dkpd.galco,Texas,32358444486,30.13615,32.35844,0.02943,,,
springlakepolice.org,NJ,32049037591,29.84799,32.04904,0.02915,,,
shso.org,VA,31951523356,29.75717,31.95152,0.02906,,,
latah.id.us,ID,31709578338,29.53185,31.70958,0.02884,,,
taylorcoso.fl.us,FL,31429239699,29.27076,31.42924,0.02858,,,
tppd.montgomerycountymd.gov,MD,31413414309,29.25602,31.41341,0.02857,,,
ci.cannon-beach.or.us,OR,30860734560,28.7413,30.86073,0.02807,,,
milwaukieoregon.gov,OR,30465101271,28.37284,30.4651,0.02771,,,
pd.marionma.gov,MA,30393636410,28.30628,30.39364,0.02764,,,
chikaming.mi,MI,30251272821,28.17369,30.25127,0.02751,,,
acworth.org,GA,30134148064,28.06461,30.13415,0.02741,,,
boxeldercounty.org,UT,30048874890,27.9852,30.04887,0.02733,,,
londonpd.oh.us,OH,29983484435,27.9243,29.98348,0.02727,,,
