Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
sheboygancounty.com,WI,21314582473136,19850.75183,21314.58247,19.3855,,,
gallatincoso.mt.us,MT,21203093273606,19746.91942,21203.09327,19.2841,,,
washingtontwnpd.oh.us,OH,20835648191105,19404.70952,20835.64819,18.94991,,,
lebanontownship.net,NJ,20802484374995,19373.82331,20802.48437,18.91975,,,
forestgrove-or.gov,OR,20652368453324,19234.01696,20652.36845,18.78322,,,
springfield-nj.us,NJ,20498336734798,19090.56374,20498.33673,18.64313,,,
shelbycountyecd,TN,20467397918570,19061.74973,20467.39792,18.61499,,,
pitkincoso.co.us,CO,20301656360591,18907.39087,20301.65636,18.46425,,,
clarkstonpd.wa.us,wA,20183153197144,18797.0262,20183.1532,18.35647,,,
willimanticpd.ct.us,,20141812492651,18758.52467,20141.81249,18.31887,,,
centervillepd.ut.us,UT,20084500109130,18705.14835,20084.50011,18.26675,,,
kaplanpd.la.us,LA,19654839904134,18304.9961,19654.8399,17.87597,,,
graysoncoso.tx.us,Texas,19494659186978,18155.81619,19494.65919,17.73029,,,
townofdyer.com,IN,19333364863670,18005.59914,19333.36486,17.58359,,,
cityofanthonynm.com,NM,19195123161489,17876.85152,19195.12316,17.45786,,,
clarkssummitboro.org,PA,19114681419112,17801.93431,19114.68142,17.3847,,,
301usgovvirginia5126956 (Agency not Matched),,18477128142229,17208.16655,18477.12814,16.80485,,,
sbcsd.org,CA,18473899562764,17205.1597,18473.89956,16.80191,,,
vanderbiltuniv.tn.us,TN,18377283159109,17115.17867,18377.28316,16.71404,,,
cityoflennoxsd.com,SD,17938414042618,16706.44995,17938.41404,16.31489,,,
millscoia.us,IA,17704546420513,16488.64375,17704.54642,16.10219,,,
brigantinebeach.org,NJ,17611349844641,16401.84768,17611.34984,16.01743,,,
bransonmo.gov,Missouri,17401805913249,16206.69469,17401.80591,15.82685,,,
portagewi.gov,WI,17026548326913,15857.20882,17026.54833,15.48556,,,
cityofnewiberia.com,LA,16949882338557,15785.80806,16949.88234,15.41583,,,
kansashighwaypatrol.org,KS,16812700239273,15658.04727,16812.70024,15.29106,,,
dodgecity.org,KS,16780239766691,15627.8161,16780.23977,15.26154,,,
hamiltoncounty.in.gov,Indiana,16747797271832,15597.60167,16747.79727,15.23203,,,
oceantwp.org,NJ,16681659963287,15536.00651,16681.65996,15.17188,,,
vsp.virginia.gov,VA,16640169644748,15497.36564,16640.16964,15.13415,,,
geddestownpd.ny.us,NY,16598102071338,15458.18715,16598.10207,15.09589,,,
delawarecountysheriff.org,IN,15710478192501,14631.523,15710.47819,14.2886,,,
bastropisd.tx.us,TX,15124842344468,14086.10711,15124.84234,13.75596,,,
hctx.911.org,TX,14828996843753,13810.57952,14828.99684,13.48689,,,
dsm.ia.gov,IA,14750471309120,13737.44692,14750.47131,13.41548,,,
paysonutah.org,UT,14259981852084,13280.64301,14259.98185,12.96938,,,
detroitmi.gov,MI,14037254312295,13073.21183,14037.25431,12.76681,,,
cityhs.net,AR,13990259585611,13029.44458,13990.25959,12.72407,,,
newarkpd.oh.us,OH,13876007552923,12923.03908,13876.00755,12.62016,,,
so.emmetcounty.mi.us,MI,13873428079119,12920.63676,13873.42808,12.61781,,,
altonpolice.com,IL,13768998176013,12823.37883,13768.99818,12.52283,,,
vanalstynepolice.com,TX,13766075725843,12820.65709,13766.07573,12.52017,,,
perrysburgtownship.us,OH,13297801928745,12384.54313,13297.80193,12.09428,,,
kalispeltribe.com,WA,12965799120592,12075.34142,12965.79912,11.79233,,,
grantcounty.net,IN,12889080281313,12003.89143,12889.08028,11.72255,,,
butlertownship.com,OH,12807473821676,11927.88949,12807.47382,11.64833,,,
sled.sc.gov,SC,12609160536804,11743.19585,12609.16054,11.46796,,,
elsmerepd.de.us,DE,12593567428682,11728.67364,12593.56743,11.45378,,,
so.washingtonparish.la.us,LA,12457561294516,11602.00806,12457.56129,11.33009,,,
hallsville.us,TX,12392164043842,11541.10212,12392.16404,11.27061,,,
montcoga.gov,GA,12304081742232,11459.06909,12304.08174,11.1905,,,
cabq.gov,NM,12273458819490,11430.54927,12273.45882,11.16265,,,
co.dodge.wi.gov,WI,12228360945217,11388.5486,12228.36095,11.12163,,,
somervillepd.tx.us,TX,12174359440249,11338.25578,12174.35944,11.07252,,,
churchill.nv.us,NV,12171325179982,11335.4299,12171.32518,11.06976,,,
dixonpd.il.us,IL,12114908655292,11282.88792,12114.90866,11.01845,,,
southportland.org,ME,12096079295231,11265.35171,12096.0793,11.00132,,,
edgeworthborough.org,PA,11967706500909,11145.79523,11967.7065,10.88457,,,
spartanburgcounty.org,South Carolina,11829019104800,11016.63253,11829.0191,10.75843,,,
dillonpd.sc.us,SC,11566973059631,10772.58313,11566.97306,10.5201,,,
whitebearlake.org,MN,11558515534856,10764.70645,11558.51553,10.51241,,,
co.coos.or.us,OR,11507953517124,10717.6169,11507.95352,10.46642,,,
co.eddy.nm.us,NM,11473751156832,10685.76347,11473.75116,10.43532,,,
sycamorepd.com,IL,11380182083158,10598.62048,11380.18208,10.35022,,,
miltonpd.pa.us,PA,11215627909362,10445.36746,11215.62791,10.20055,,,
lakecountysheriff.com,IN,11101029369736,10338.63925,11101.02937,10.09633,,,
lakeparkpd.ga.us,GA,10952283843166,10200.10919,10952.28384,9.96104,,,
glenrock.org,WY,10937192579160,10186.05435,10937.19258,9.94732,,,
